DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2025-12-06 12:36:15.715,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
141804,-1.5968,1.2300,-36.4194,0.3045,0.1844,0.2230,0
141971,-1.6164,1.2375,-36.4171,0.2922,0.1853,0.2537,0
142138,-1.6345,1.2454,-36.4157,0.2900,0.1945,0.2216,0
142304,-1.6550,1.2529,-36.4133,0.3039,0.1988,0.2456,0
142471,-1.6753,1.2609,-36.4114,0.2995,0.1922,0.2203,0
142638,-1.6936,1.2692,-36.4081,0.3132,0.2048,0.2275,0
142804,-1.7125,1.2764,-36.4038,0.3121,0.2097,0.2331,0
142971,-1.7317,1.2824,-36.4001,0.3003,0.1963,0.2176,0
143138,-1.7494,1.2881,-36.3977,0.3065,0.2075,0.2326,0
143304,-1.7672,1.2956,-36.3952,0.3045,0.1933,0.2167,0
143471,-1.7860,1.3035,-36.3906,0.3259,0.2025,0.2335,0
143638,-1.8025,1.3097,-36.3860,0.3318,0.1968,0.2156,0
143804,-1.8199,1.3175,-36.3814,0.3314,0.2212,0.2249,0
143971,-1.8365,1.3243,-36.3783,0.3279,0.2043,0.2269,0
144138,-1.8535,1.3315,-36.3746,0.3343,0.2171,0.2507,0
144304,-1.8707,1.3371,-36.3710,0.3324,0.2115,0.2169,0
144471,-1.8877,1.3449,-36.3640,0.3263,0.2063,0.2458,0
144638,-1.9044,1.3511,-36.3588,0.3292,0.2094,0.2182,0
144804,-1.9204,1.3569,-36.3549,0.3424,0.2172,0.2076,0
144971,-1.9361,1.3636,-36.3504,0.3525,0.2317,0.2581,0
145138,-1.9512,1.3701,-36.3449,0.3427,0.2080,0.2277,0
145304,-1.9653,1.3750,-36.3394,0.3396,0.2162,0.2120,0
145471,-1.9809,1.3811,-36.3335,0.3641,0.2170,0.2232,0
145638,-1.9958,1.3873,-36.3276,0.3703,0.2355,0.1968,0
145804,-2.0107,1.3935,-36.3201,0.3581,0.2372,0.2260,0
145971,-2.0247,1.3989,-36.3139,0.3669,0.2328,0.2158,0
146138,-2.0390,1.4028,-36.3077,0.3752,0.2379,0.2281,0
146304,-2.0514,1.4066,-36.3004,0.3532,0.2441,0.2131,0
146471,-2.0648,1.4132,-36.2915,0.3730,0.2204,0.2240,0
146638,-2.0778,1.4181,-36.2843,0.3606,0.2146,0.2321,0
146804,-2.0908,1.4239,-36.2767,0.3545,0.2207,0.2340,0
146971,-2.1041,1.4294,-36.2683,0.3595,0.2320,0.2203,0
147138,-2.1170,1.4342,-36.2630,0.3717,0.2320,0.2282,0
147304,-2.1294,1.4394,-36.2559,0.3777,0.2558,0.2182,0
147471,-2.1414,1.4447,-36.2495,0.3883,0.2560,0.2154,0
