DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Complete (Quaternion),StartTime: 2025-12-02 14:33:20.555,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
170818,0.9695,-0.0140,0.0021,0.2448,-0.0122,0.3072,0.2347
170985,0.9695,-0.0142,0.0022,0.2447,-0.0219,0.3080,0.2488
171152,0.9695,-0.0144,0.0022,0.2447,-0.0283,0.3172,0.2004
171318,0.9695,-0.0145,0.0022,0.2447,-0.0109,0.3300,0.2407
171485,0.9695,-0.0147,0.0023,0.2446,-0.0147,0.3154,0.2413
171652,0.9695,-0.0148,0.0023,0.2446,-0.0073,0.3206,0.2408
171818,0.9695,-0.0150,0.0023,0.2446,-0.0179,0.3427,0.2415
171985,0.9695,-0.0152,0.0024,0.2445,-0.0315,0.3301,0.2514
172152,0.9695,-0.0154,0.0024,0.2445,-0.0190,0.3450,0.2363
172318,0.9695,-0.0155,0.0024,0.2444,-0.0301,0.3401,0.2416
172485,0.9695,-0.0157,0.0024,0.2444,-0.0067,0.3330,0.2358
172652,0.9696,-0.0159,0.0025,0.2444,-0.0189,0.3473,0.2465
172818,0.9696,-0.0160,0.0025,0.2443,-0.0244,0.3376,0.2358
172985,0.9696,-0.0162,0.0025,0.2443,-0.0233,0.3371,0.2309
173152,0.9696,-0.0164,0.0025,0.2442,-0.0217,0.3529,0.2427
173318,0.9696,-0.0166,0.0026,0.2442,-0.0290,0.3455,0.2303
173485,0.9696,-0.0167,0.0026,0.2442,-0.0199,0.3534,0.2401
173652,0.9696,-0.0169,0.0026,0.2441,-0.0164,0.3620,0.2395
173818,0.9696,-0.0170,0.0027,0.2441,-0.0327,0.3635,0.2560
173985,0.9696,-0.0171,0.0027,0.2441,-0.0209,0.3754,0.2220
174152,0.9696,-0.0173,0.0027,0.2440,-0.0246,0.3663,0.2320
174318,0.9696,-0.0174,0.0027,0.2440,-0.0393,0.3813,0.2449
174485,0.9696,-0.0175,0.0028,0.2440,-0.0517,0.3740,0.2472
174652,0.9696,-0.0177,0.0028,0.2439,-0.0207,0.3897,0.2277
174818,0.9696,-0.0178,0.0028,0.2439,-0.0128,0.4002,0.2311
174985,0.9696,-0.0180,0.0029,0.2439,-0.0280,0.4015,0.2317
175152,0.9696,-0.0181,0.0029,0.2439,-0.0167,0.4023,0.2372
175318,0.9696,-0.0182,0.0029,0.2438,-0.0308,0.4015,0.2354
175485,0.9696,-0.0184,0.0029,0.2438,-0.0359,0.4097,0.2526
175652,0.9697,-0.0185,0.0029,0.2438,-0.0198,0.4032,0.2347
175818,0.9697,-0.0186,0.0030,0.2438,-0.0335,0.4010,0.2315
175985,0.9697,-0.0187,0.0030,0.2437,-0.0338,0.4020,0.2150
176152,0.9697,-0.0189,0.0030,0.2437,-0.0167,0.4090,0.2341
176318,0.9697,-0.0190,0.0030,0.2437,-0.0233,0.4042,0.2323
176485,0.9697,-0.0191,0.0031,0.2437,-0.0230,0.4042,0.2101
176652,0.9697,-0.0192,0.0031,0.2436,-0.0283,0.4074,0.2467
176818,0.9697,-0.0193,0.0031,0.2436,-0.0246,0.4046,0.2274
176985,0.9697,-0.0194,0.0031,0.2436,-0.0293,0.4305,0.2353
177152,0.9697,-0.0195,0.0031,0.2436,-0.0237,0.4114,0.2442
177318,0.9697,-0.0196,0.0032,0.2436,-0.0286,0.4248,0.2277
177485,0.9697,-0.0197,0.0032,0.2436,-0.0276,0.4253,0.2513
177652,0.9697,-0.0198,0.0032,0.2435,-0.0332,0.4330,0.2502
177818,0.9697,-0.0199,0.0032,0.2435,-0.0275,0.4281,0.2428
177985,0.9697,-0.0200,0.0032,0.2435,-0.0202,0.4406,0.2181
178152,0.9697,-0.0201,0.0032,0.2435,-0.0418,0.4377,0.2396
178318,0.9689,0.0015,-0.0008,0.2473,0.0027,-0.0050,0.2596
178485,0.9689,0.0015,-0.0008,0.2473,0.0135,-0.0128,0.2298
178652,0.9689,0.0015,-0.0008,0.2474,0.0069,0.0058,0.2148
178818,0.9689,0.0015,-0.0008,0.2474,-0.0128,-0.0117,0.2427
178985,0.9689,0.0015,-0.0008,0.2474,-0.0001,0.0041,0.2546
179152,0.9689,0.0015,-0.0008,0.2474,-0.0106,0.0026,0.2547
179318,0.9689,0.0015,-0.0008,0.2474,0.0123,-0.0004,0.2435
179485,0.9689,0.0015,-0.0008,0.2474,-0.0023,0.0057,0.2494
179652,0.9689,0.0015,-0.0008,0.2474,-0.0042,0.0115,0.2582
179818,0.9689,0.0015,-0.0008,0.2474,-0.0065,-0.0221,0.2612
179985,0.9689,0.0015,-0.0008,0.2474,-0.0062,-0.0001,0.2189
180152,0.9689,0.0015,-0.0008,0.2474,-0.0062,-0.0055,0.2529
180318,0.9689,0.0015,-0.0008,0.2474,-0.0082,-0.0046,0.2709
180485,0.9689,0.0015,-0.0008,0.2474,-0.0105,-0.0035,0.2395
180652,0.9689,0.0015,-0.0008,0.2474,-0.0099,-0.0053,0.2359
180818,0.9689,0.0015,-0.0008,0.2474,-0.0107,-0.0184,0.2457
180985,0.9689,0.0015,-0.0008,0.2474,-0.0141,-0.0030,0.2552
181152,0.9689,0.0015,-0.0008,0.2474,-0.0013,-0.0100,0.2504
181318,0.9689,0.0015,-0.0008,0.2474,-0.0008,-0.0222,0.2467
181485,0.9689,0.0015,-0.0008,0.2474,0.0022,-0.0039,0.2598
181652,0.9689,0.0015,-0.0008,0.2475,0.0006,0.0044,0.2329
181818,0.9689,0.0015,-0.0008,0.2475,0.0161,-0.0030,0.2511
181985,0.9689,0.0015,-0.0008,0.2475,-0.0025,0.0010,0.2372
182152,0.9689,0.0015,-0.0008,0.2475,-0.0019,0.0054,0.2397
182318,0.9689,0.0015,-0.0008,0.2474,0.0025,0.0075,0.2535
182485,0.9689,0.0015,-0.0008,0.2474,0.0066,0.0085,0.2503
182652,0.9689,0.0015,-0.0008,0.2475,-0.0055,-0.0166,0.2407
182818,0.9689,0.0015,-0.0008,0.2475,-0.0016,-0.0112,0.2490
182985,0.9689,0.0015,-0.0008,0.2475,0.0022,-0.0143,0.2145
183152,0.9689,0.0015,-0.0008,0.2475,0.0189,0.0011,0.2458
183318,0.9689,0.0015,-0.0008,0.2475,0.0174,-0.0025,0.2633
183485,0.9689,0.0015,-0.0008,0.2475,0.0015,0.0020,0.2471
183652,0.9689,0.0015,-0.0008,0.2475,-0.0089,-0.0134,0.2413
183818,0.9689,0.0015,-0.0008,0.2475,0.0032,-0.0128,0.2312
183985,0.9689,0.0015,-0.0008,0.2475,-0.0057,-0.0060,0.2404
184152,0.9689,0.0015,-0.0008,0.2475,-0.0114,-0.0181,0.2458
184318,0.9689,0.0015,-0.0008,0.2475,0.0000,0.0047,0.2478
184485,0.9689,0.0015,-0.0009,0.2475,0.0071,0.0090,0.2319
184652,0.9689,0.0015,-0.0009,0.2475,0.0100,-0.0021,0.2587
184818,0.9689,0.0015,-0.0009,0.2475,0.0070,-0.0015,0.2493
184985,0.9689,0.0015,-0.0008,0.2475,-0.0062,-0.0000,0.2163
185152,0.9689,0.0015,-0.0009,0.2475,-0.0085,-0.0061,0.2332
185318,0.9689,0.0015,-0.0009,0.2475,-0.0113,-0.0137,0.2540
185485,0.9689,0.0015,-0.0009,0.2475,0.0086,-0.0172,0.2298
185652,0.9689,0.0015,-0.0009,0.2475,0.0021,-0.0010,0.2449
185818,0.9689,0.0015,-0.0009,0.2475,-0.0101,-0.0088,0.2346
185985,0.9689,0.0015,-0.0009,0.2475,-0.0010,-0.0159,0.2307
186152,0.9689,0.0015,-0.0008,0.2475,-0.0036,-0.0132,0.2520
186318,0.9689,0.0015,-0.0008,0.2475,0.0073,0.0017,0.2419
186485,0.9689,0.0015,-0.0008,0.2475,-0.0047,-0.0000,0.2465
186652,0.9689,0.0015,-0.0009,0.2475,-0.0022,0.0127,0.2582
186819,0.9689,0.0015,-0.0009,0.2475,0.0006,0.0076,0.2372
186985,0.9689,0.0015,-0.0009,0.2475,0.0080,0.0013,0.2293
187152,0.9689,0.0015,-0.0009,0.2475,-0.0080,-0.0078,0.2511
187319,0.9689,0.0015,-0.0009,0.2475,-0.0094,-0.0066,0.2499
187485,0.9689,0.0015,-0.0009,0.2475,0.0002,-0.0067,0.2514
187652,0.9689,0.0015,-0.0009,0.2475,0.0040,0.0061,0.2493
187819,0.9689,0.0015,-0.0009,0.2475,-0.0016,-0.0053,0.2443
187985,0.9689,0.0015,-0.0009,0.2475,0.0060,0.0077,0.2353
