DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 5,StartTime: 2025-12-02 15:59:45.216,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z
4786392,0.0489,-0.0411,10.0447,-1.9969,0.9678,-0.6087,0.9941,-0.0084,-0.0001,0.1078,-0.9635,0.0933,12.3737
4786559,0.0356,-0.0057,10.0500,-1.8576,0.8852,-0.6536,0.9941,-0.0086,-0.0000,0.1077,-0.9843,0.1029,12.3696
4786725,0.0427,-0.0008,10.0502,-1.9456,0.9045,-0.6002,0.9941,-0.0088,0.0000,0.1077,-1.0064,0.1130,12.3664
4786892,0.0793,0.0034,10.0645,-1.9189,0.9191,-0.5819,0.9941,-0.0090,0.0001,0.1077,-1.0280,0.1234,12.3646
4787059,0.0833,-0.0034,10.0385,-1.9701,0.9070,-0.5502,0.9941,-0.0092,0.0002,0.1077,-1.0504,0.1335,12.3639
4787225,0.0788,-0.0041,10.0472,-1.9445,0.8950,-0.6209,0.9941,-0.0094,0.0002,0.1077,-1.0723,0.1432,12.3607
4787392,0.0571,-0.0067,10.0493,-1.9237,0.9995,-0.6331,0.9941,-0.0096,0.0003,0.1076,-1.0938,0.1546,12.3568
4787559,0.0335,-0.0188,10.0496,-1.9189,0.8632,-0.5929,0.9941,-0.0098,0.0004,0.1076,-1.1152,0.1637,12.3538
4787725,0.0381,-0.0283,10.0400,-1.8955,0.9423,-0.5929,0.9941,-0.0100,0.0004,0.1076,-1.1361,0.1742,12.3495
4787892,0.0509,-0.0187,10.0539,-1.8943,0.9045,-0.6026,0.9942,-0.0102,0.0005,0.1075,-1.1571,0.1841,12.3429
4788059,0.0388,-0.0138,10.0380,-2.0166,0.8913,-0.6245,0.9942,-0.0104,0.0006,0.1075,-1.1802,0.1938,12.3379
4788225,0.0643,0.0016,10.0424,-1.9299,0.8705,-0.6098,0.9942,-0.0106,0.0006,0.1074,-1.2017,0.2032,12.3325
4788392,0.0632,0.0026,10.0540,-1.9727,0.8681,-0.6404,0.9942,-0.0108,0.0007,0.1074,-1.2239,0.2125,12.3255
4788559,0.0588,0.0018,10.0572,-1.9702,0.8366,-0.5930,0.9942,-0.0110,0.0008,0.1073,-1.2459,0.2212,12.3200
4788725,0.0613,0.0008,10.0666,-1.9602,0.8340,-0.6220,0.9942,-0.0112,0.0008,0.1073,-1.2676,0.2299,12.3174
4788892,0.0591,-0.0098,10.0452,-1.9042,0.8972,-0.5686,0.9942,-0.0114,0.0009,0.1073,-1.2884,0.2395,12.3148
4789059,0.0559,-0.0128,10.0615,-1.8482,0.8704,-0.7037,0.9942,-0.0116,0.0009,0.1072,-1.3081,0.2487,12.3081
4789225,0.0637,-0.0258,10.0655,-1.8467,0.9167,-0.5978,0.9942,-0.0118,0.0010,0.1072,-1.3277,0.2586,12.3052
4789392,0.0369,0.0006,10.0703,-1.8930,0.9034,-0.6051,0.9942,-0.0119,0.0011,0.1071,-1.3481,0.2682,12.2985
4789559,0.0543,-0.0093,10.0632,-1.9506,0.9882,-0.6111,0.9942,-0.0121,0.0011,0.1071,-1.3693,0.2793,12.2951
4789725,0.0507,0.0114,10.0474,-1.9713,0.8621,-0.5991,0.9942,-0.0123,0.0012,0.1071,-1.3908,0.2882,12.2897
4789892,0.0637,0.0015,10.0608,-2.0016,0.8680,-0.6233,0.9942,-0.0125,0.0013,0.1070,-1.4127,0.2972,12.2820
4790059,0.0748,-0.0162,10.0484,-2.0240,0.9058,-0.5492,0.9942,-0.0127,0.0013,0.1070,-1.4348,0.3068,12.2801
4790225,0.0633,-0.0112,10.0524,-1.9688,0.9692,-0.5517,0.9942,-0.0129,0.0014,0.1070,-1.4560,0.3173,12.2768
4790392,0.0719,-0.0304,10.0565,-1.9749,0.8496,-0.6097,0.9942,-0.0131,0.0014,0.1069,-1.4771,0.3258,12.2756
4790559,0.0531,-0.0137,10.0552,-1.9409,0.8826,-0.6454,0.9942,-0.0133,0.0015,0.1069,-1.4976,0.3347,12.2715
4790725,0.0341,-0.0310,10.0680,-2.0198,0.8754,-0.6402,0.9942,-0.0135,0.0016,0.1069,-1.5193,0.3434,12.2688
4790892,0.0417,-0.0191,10.0672,-1.9532,0.8913,-0.6098,0.9942,-0.0137,0.0016,0.1069,-1.5399,0.3525,12.2659
4791059,0.0643,-0.0054,10.0669,-1.8855,0.9314,-0.5419,0.9942,-0.0139,0.0017,0.1069,-1.5592,0.3622,12.2649
4791225,0.0635,-0.0004,10.0484,-1.9762,0.9095,-0.6418,0.9942,-0.0141,0.0018,0.1068,-1.5799,0.3714,12.2585
4791392,0.0685,-0.0271,10.0454,-1.9465,0.9180,-0.5952,0.9942,-0.0142,0.0018,0.1068,-1.6000,0.3807,12.2563
4791559,0.0645,-0.0099,10.0718,-1.9592,0.8267,-0.5700,0.9942,-0.0144,0.0019,0.1068,-1.6202,0.3884,12.2544
4791725,0.0517,-0.0085,10.0463,-1.9347,0.9250,-0.5803,0.9942,-0.0146,0.0019,0.1068,-1.6398,0.3977,12.2533
4791892,0.0494,-0.0175,10.0633,-1.9456,0.9023,-0.6622,0.9942,-0.0148,0.0020,0.1067,-1.6595,0.4065,12.2474
4792059,0.0446,-0.0151,10.0731,-1.9899,0.9072,-0.5872,0.9942,-0.0150,0.0020,0.1067,-1.6798,0.4154,12.2428
4792225,0.0544,-0.0049,10.0532,-1.9420,0.9261,-0.5913,0.9942,-0.0151,0.0021,0.1066,-1.6992,0.4245,12.2372
4792392,0.0661,-0.0010,10.0494,-1.8782,0.8743,-0.6270,0.9942,-0.0153,0.0022,0.1066,-1.7173,0.4327,12.2330
4792559,0.0670,-0.0052,10.0559,-1.8834,0.9426,-0.5868,0.9942,-0.0155,0.0022,0.1066,-1.7354,0.4420,12.2305
4792725,0.0551,0.0003,10.0515,-1.9468,0.9119,-0.6196,0.9942,-0.0156,0.0023,0.1066,-1.7543,0.4506,12.2297
4792892,0.0529,-0.0091,10.0405,-1.9249,0.8714,-0.6406,0.9942,-0.0158,0.0023,0.1065,-1.7727,0.4585,12.2274
4793059,0.0502,-0.0260,10.0669,-1.9409,0.8126,-0.5792,0.9942,-0.0160,0.0024,0.1065,-1.7912,0.4654,12.2233
4793225,0.0430,-0.0168,10.0503,-1.8722,0.9095,-0.6939,0.9942,-0.0161,0.0024,0.1065,-1.8084,0.4737,12.2196
4793392,0.0536,-0.0305,10.0836,-1.9092,0.9215,-0.5797,0.9942,-0.0163,0.0025,0.1065,-1.8261,0.4823,12.2185
4793559,0.0539,-0.0076,10.0620,-1.9127,0.8560,-0.5978,0.9942,-0.0165,0.0025,0.1065,-1.8437,0.4897,12.2165
4793726,0.0677,0.0008,10.0554,-1.8835,0.9180,-0.6344,0.9942,-0.0166,0.0026,0.1064,-1.8606,0.4980,12.2147
4793892,0.0646,0.0033,10.0425,-1.9651,0.9007,-0.6619,0.9942,-0.0168,0.0026,0.1064,-1.8787,0.5059,12.2095
4794059,0.0711,0.0076,10.0658,-1.9165,0.9267,-0.6943,0.9942,-0.0169,0.0027,0.1064,-1.8958,0.5141,12.2043
4794226,0.0491,-0.0133,10.0582,-1.9553,0.9154,-0.6710,0.9942,-0.0171,0.0028,0.1063,-1.9133,0.5221,12.2011
4794392,0.0595,-0.0132,10.0454,-1.9678,0.8703,-0.6272,0.9942,-0.0172,0.0028,0.1063,-1.9308,0.5292,12.1995
4794559,0.0488,-0.0334,10.0297,-1.9907,0.9376,-0.6000,0.9942,-0.0174,0.0029,0.1063,-1.9486,0.5374,12.2000
4794726,0.0310,-0.0341,10.0624,-1.9150,0.9165,-0.5842,0.9942,-0.0176,0.0029,0.1063,-1.9648,0.5451,12.1975
4794892,0.0368,-0.0282,10.0801,-1.9693,0.9159,-0.6116,0.9942,-0.0177,0.0030,0.1063,-1.9819,0.5528,12.1962
4795059,0.0612,-0.0118,10.0496,-1.9441,0.8969,-0.5915,0.9942,-0.0179,0.0030,0.1063,-1.9983,0.5601,12.1954
4795226,0.0542,0.0105,10.0507,-1.9675,0.9044,-0.6746,0.9942,-0.0180,0.0031,0.1063,-2.0149,0.5673,12.1927
4795392,0.1051,0.0039,10.0697,-1.9510,0.8646,-0.6538,0.9942,-0.0182,0.0031,0.1063,-2.0310,0.5738,12.1911
4795559,0.0896,0.0037,10.0666,-1.9190,0.8805,-0.5833,0.9942,-0.0183,0.0031,0.1062,-2.0463,0.5805,12.1885
4795726,0.0703,-0.0058,10.0629,-1.9274,0.9465,-0.5853,0.9942,-0.0184,0.0032,0.1062,-2.0615,0.5881,12.1891
4795892,0.0645,-0.0031,10.0466,-1.8768,0.9719,-0.5724,0.9942,-0.0186,0.0032,0.1062,-2.0756,0.5960,12.1892
4796059,0.0361,-0.0068,10.0747,-1.9773,0.8911,-0.5806,0.9942,-0.0187,0.0033,0.1062,-2.0912,0.6025,12.1878
4796226,0.0297,-0.0325,10.0477,-1.9939,0.8803,-0.6953,0.9942,-0.0188,0.0033,0.1062,-2.1068,0.6086,12.1843
4796392,0.0247,-0.0357,10.0649,-1.9772,0.8798,-0.5773,0.9942,-0.0190,0.0034,0.1062,-2.1220,0.6147,12.1873
4796559,0.0458,-0.0242,10.0647,-1.9226,0.9146,-0.6424,0.9942,-0.0191,0.0034,0.1062,-2.1360,0.6213,12.1870
4796726,0.0745,-0.0008,10.0864,-2.0063,0.8646,-0.6288,0.9942,-0.0192,0.0034,0.1062,-2.1512,0.6270,12.1854
4796892,0.1119,-0.0090,10.0279,-1.9339,0.9673,-0.6221,0.9941,-0.0194,0.0035,0.1062,-2.1650,0.6342,12.1847
4797059,0.1394,-0.0116,10.0407,-1.9820,0.9150,-0.5394,0.9941,-0.0195,0.0035,0.1062,-2.1793,0.6405,12.1860
4797226,0.0878,-0.0034,10.0571,-1.8774,0.9190,-0.5989,0.9941,-0.0196,0.0036,0.1062,-2.1916,0.6465,12.1847
4797392,0.0300,-0.0078,10.0552,-1.8823,0.9672,-0.6115,0.9941,-0.0197,0.0036,0.1062,-2.2037,0.6532,12.1863
4797559,0.0039,-0.0218,10.0523,-1.9554,0.8760,-0.6352,0.9941,-0.0198,0.0037,0.1062,-2.2169,0.6583,12.1851
4797726,0.0063,-0.0373,10.0544,-1.8961,0.8562,-0.6086,0.9941,-0.0200,0.0037,0.1062,-2.2288,0.6630,12.1872
4797892,0.0185,-0.0444,10.0709,-2.0531,0.8214,-0.6527,0.9941,-0.0201,0.0037,0.1063,-2.2431,0.6671,12.1879
4798059,0.0518,-0.0182,10.0410,-1.8835,0.9173,-0.6400,0.9941,-0.0202,0.0037,0.1062,-2.2543,0.6727,12.1848
4798226,0.0909,-0.0004,10.0360,-1.9847,0.8508,-0.5780,0.9941,-0.0203,0.0038,0.1062,-2.2670,0.6772,12.1843
4798392,0.1031,0.0194,10.0664,-1.8491,0.9122,-0.6483,0.9941,-0.0204,0.0038,0.1062,-2.2772,0.6824,12.1834
4798559,0.0962,0.0093,10.0557,-1.9166,0.8756,-0.6698,0.9941,-0.0205,0.0038,0.1062,-2.2882,0.6869,12.1828
4798726,0.0716,-0.0109,10.0716,-2.0674,0.9405,-0.6427,0.9941,-0.0206,0.0039,0.1062,-2.3014,0.6922,12.1820
4798892,0.0492,-0.0266,10.0374,-1.9496,0.8871,-0.5954,0.9941,-0.0207,0.0039,0.1062,-2.3124,0.6966,12.1812
4799059,0.0110,-0.0314,10.0720,-1.9001,0.8719,-0.5954,0.9941,-0.0208,0.0039,0.1062,-2.3223,0.7007,12.1825
4799226,0.0017,-0.0446,10.0477,-1.9397,0.9147,-0.5914,0.9941,-0.0209,0.0040,0.1062,-2.3327,0.7053,12.1826
4799392,0.0280,-0.0416,10.0581,-1.9664,0.8474,-0.6235,0.9941,-0.0210,0.0040,0.1062,-2.3432,0.7088,12.1840
4799559,0.0677,-0.0201,10.0571,-1.9407,0.8511,-0.6030,0.9941,-0.0211,0.0040,0.1062,-2.3531,0.7123,12.1860
4799726,0.0939,-0.0203,10.0573,-1.9254,0.8347,-0.6907,0.9940,-0.0000,-0.0030,0.1097,-0.0411,-0.3451,12.5985
4799892,0.1121,-0.0013,10.0691,-1.9488,1.0210,-0.5425,0.9940,-0.0000,-0.0030,0.1097,-0.0411,-0.3432,12.5995
4800059,0.1103,0.0229,10.0359,-1.9115,0.8310,-0.5877,0.9940,-0.0000,-0.0030,0.1097,-0.0405,-0.3445,12.5984
4800226,0.0500,0.0100,10.0463,-1.8934,0.8887,-0.6630,0.9940,-0.0000,-0.0030,0.1097,-0.0396,-0.3449,12.5963
4800392,0.0334,-0.0074,10.0626,-1.9016,0.8949,-0.6492,0.9940,-0.0000,-0.0030,0.1097,-0.0389,-0.3452,12.5953
4800559,0.0368,-0.0413,10.0666,-1.9917,0.8816,-0.6349,0.9940,-0.0000,-0.0030,0.1097,-0.0396,-0.3456,12.5953
4800726,0.0337,-0.0408,10.0563,-1.9244,0.9517,-0.6229,0.9940,-0.0000,-0.0030,0.1097,-0.0392,-0.3449,12.5937
4800892,0.0442,-0.0419,10.0566,-1.9267,0.9320,-0.5977,0.9940,-0.0000,-0.0030,0.1097,-0.0389,-0.3445,12.5939
4801059,0.0471,-0.0134,10.0644,-1.9098,0.8916,-0.6735,0.9940,-0.0000,-0.0030,0.1097,-0.0383,-0.3448,12.5924
4801226,0.0836,-0.0041,10.0734,-1.9608,0.8932,-0.6426,0.9940,-0.0000,-0.0030,0.1097,-0.0386,-0.3450,12.5913
4801392,0.0827,0.0146,10.0335,-1.9709,0.9136,-0.6475,0.9940,-0.0000,-0.0030,0.1097,-0.0390,-0.3449,12.5906
4801559,0.0774,0.0274,10.0567,-1.9730,0.9126,-0.7030,0.9940,-0.0000,-0.0030,0.1096,-0.0395,-0.3449,12.5892
4801726,0.0676,-0.0006,10.0525,-1.9300,0.9423,-0.6183,0.9940,-0.0000,-0.0030,0.1096,-0.0392,-0.3443,12.5884
4801892,0.0699,-0.0199,10.0547,-1.9993,0.8671,-0.6604,0.9940,-0.0000,-0.0030,0.1096,-0.0401,-0.3450,12.5876
4802059,0.0576,-0.0384,10.0530,-1.9056,0.9304,-0.5907,0.9940,-0.0000,-0.0030,0.1096,-0.0395,-0.3446,12.5883
4802226,0.0225,-0.0405,10.0682,-1.9644,0.9310,-0.5860,0.9940,-0.0000,-0.0030,0.1096,-0.0398,-0.3442,12.5897
4802392,0.0175,-0.0267,10.0508,-1.8991,0.9166,-0.6355,0.9940,-0.0000,-0.0030,0.1096,-0.0390,-0.3441,12.5887
4802559,0.0343,-0.0136,10.0640,-1.9541,0.8407,-0.5572,0.9940,-0.0000,-0.0030,0.1096,-0.0392,-0.3452,12.5903
4802726,0.0707,-0.0142,10.0630,-1.9697,0.9236,-0.6555,0.9940,-0.0000,-0.0030,0.1096,-0.0397,-0.3449,12.5900
4802892,0.1069,0.0076,10.0746,-1.8733,0.9997,-0.6692,0.9940,-0.0000,-0.0030,0.1096,-0.0385,-0.3433,12.5885
4803059,0.0922,0.0067,10.0490,-1.8819,0.8688,-0.6228,0.9940,0.0000,-0.0030,0.1096,-0.0375,-0.3439,12.5885
4803226,0.0857,-0.0102,10.0753,-1.9639,0.9196,-0.6105,0.9940,0.0000,-0.0030,0.1096,-0.0378,-0.3437,12.5885
4803392,0.0564,-0.0145,10.0345,-2.0168,0.8611,-0.6214,0.9940,-0.0000,-0.0030,0.1096,-0.0391,-0.3445,12.5884
4803559,0.0271,-0.0288,10.0680,-2.0140,0.8875,-0.5953,0.9940,-0.0000,-0.0030,0.1096,-0.0402,-0.3448,12.5895
4803726,0.0368,-0.0468,10.0512,-1.9158,0.9347,-0.6464,0.9940,-0.0000,-0.0030,0.1096,-0.0398,-0.3444,12.5889
4803892,0.0419,-0.0393,10.0425,-1.9481,0.8914,-0.5895,0.9940,-0.0000,-0.0030,0.1096,-0.0399,-0.3446,12.5892
4804059,0.0631,-0.0157,10.0566,-1.8152,0.8364,-0.6251,0.9940,0.0000,-0.0030,0.1096,-0.0378,-0.3458,12.5881
4804226,0.0591,0.0054,10.0608,-1.9127,0.8804,-0.6299,0.9940,0.0000,-0.0030,0.1096,-0.0373,-0.3462,12.5879
4804392,0.0863,0.0097,10.0631,-1.9427,0.8260,-0.6231,0.9940,0.0000,-0.0031,0.1096,-0.0373,-0.3475,12.5877
4804559,0.0957,0.0092,10.0565,-1.9423,0.8484,-0.6462,0.9940,0.0000,-0.0031,0.1096,-0.0374,-0.3485,12.5875
4804726,0.0762,-0.0074,10.0439,-1.9814,0.9393,-0.6334,0.9940,0.0000,-0.0031,0.1096,-0.0380,-0.3480,12.5878
4804892,0.0778,-0.0142,10.0413,-2.0160,0.9305,-0.6065,0.9940,-0.0000,-0.0031,0.1096,-0.0392,-0.3476,12.5876
4805059,0.0570,-0.0249,10.0444,-1.9165,0.8686,-0.5762,0.9940,-0.0000,-0.0031,0.1096,-0.0388,-0.3482,12.5888
4805226,0.0257,-0.0310,10.0669,-1.8719,0.8543,-0.5890,0.9940,0.0000,-0.0031,0.1096,-0.0377,-0.3491,12.5893
4805392,0.0316,-0.0295,10.0539,-1.9804,0.8538,-0.6545,0.9940,0.0000,-0.0031,0.1096,-0.0383,-0.3500,12.5886
4805559,0.0523,-0.0174,10.0519,-1.8922,0.8809,-0.5683,0.9940,0.0000,-0.0031,0.1096,-0.0375,-0.3504,12.5897
4805726,0.0633,0.0178,10.0564,-1.9703,0.8037,-0.6616,0.9940,0.0000,-0.0031,0.1096,-0.0380,-0.3521,12.5892
4805892,0.0896,0.0089,10.0677,-1.9728,0.8854,-0.6985,0.9940,0.0000,-0.0031,0.1096,-0.0385,-0.3524,12.5872
4806059,0.0822,0.0042,10.0623,-2.0532,0.8587,-0.6514,0.9940,-0.0000,-0.0031,0.1096,-0.0404,-0.3532,12.5868
4806226,0.0651,-0.0086,10.0555,-1.9756,0.8889,-0.5612,0.9940,-0.0000,-0.0031,0.1096,-0.0410,-0.3535,12.5878
4806392,0.0493,-0.0133,10.0584,-1.9569,0.8720,-0.5948,0.9940,-0.0000,-0.0031,0.1096,-0.0412,-0.3540,12.5888
4806559,0.0389,-0.0129,10.0904,-1.9640,0.8498,-0.6301,0.9940,-0.0000,-0.0031,0.1096,-0.0416,-0.3550,12.5888
4806726,0.0414,-0.0285,10.0576,-1.9676,0.8791,-0.6014,0.9940,-0.0000,-0.0031,0.1096,-0.0421,-0.3554,12.5886
4806892,0.0290,-0.0259,10.0495,-1.9064,0.9018,-0.5926,0.9940,-0.0000,-0.0031,0.1096,-0.0415,-0.3555,12.5890
4807059,0.0519,-0.0159,10.0654,-1.8675,0.8507,-0.6688,0.9940,-0.0000,-0.0031,0.1096,-0.0403,-0.3564,12.5878
4807226,0.0530,0.0166,10.0495,-1.9171,0.8995,-0.6039,0.9940,-0.0000,-0.0031,0.1096,-0.0399,-0.3565,12.5879
4807392,0.0767,-0.0001,10.0592,-1.9545,0.8977,-0.6381,0.9940,-0.0000,-0.0031,0.1096,-0.0401,-0.3566,12.5874
4807559,0.0705,-0.0042,10.0573,-1.9516,0.8672,-0.6235,0.9940,-0.0000,-0.0031,0.1096,-0.0403,-0.3572,12.5873
4807726,0.0683,0.0028,10.0579,-1.9129,0.8615,-0.6455,0.9940,-0.0000,-0.0031,0.1096,-0.0398,-0.3579,12.5871
4807892,0.0472,-0.0139,10.0553,-1.9014,0.9411,-0.6575,0.9940,0.0000,-0.0031,0.1096,-0.0391,-0.3573,12.5863
4808059,0.0447,-0.0080,10.0595,-1.9412,0.9896,-0.5991,0.9940,0.0000,-0.0031,0.1096,-0.0391,-0.3559,12.5874
4808226,0.0428,-0.0187,10.0540,-1.9602,0.8225,-0.5479,0.9940,-0.0000,-0.0031,0.1096,-0.0395,-0.3572,12.5883
4808392,0.0443,-0.0238,10.0586,-1.9035,1.0213,-0.5908,0.9940,0.0000,-0.0031,0.1096,-0.0388,-0.3553,12.5892
4808559,0.0515,-0.0144,10.0611,-1.9194,0.9064,-0.6648,0.9940,0.0000,-0.0031,0.1096,-0.0385,-0.3552,12.5886
4808726,0.0389,-0.0085,10.0742,-2.0294,0.8742,-0.6254,0.9940,-0.0000,-0.0031,0.1096,-0.0400,-0.3557,12.5879
4808892,0.0754,-0.0094,10.0425,-1.9374,0.8977,-0.6638,0.9940,-0.0000,-0.0031,0.1096,-0.0399,-0.3558,12.5872
4809059,0.0672,-0.0048,10.0684,-1.9573,0.7888,-0.6501,0.9940,-0.0000,-0.0031,0.1096,-0.0402,-0.3577,12.5867
4809226,0.0511,-0.0142,10.0720,-1.9527,0.8998,-0.6139,0.9940,-0.0000,-0.0031,0.1096,-0.0404,-0.3578,12.5868
4809392,0.0641,0.0036,10.0430,-1.9322,0.7835,-0.6034,0.9940,-0.0000,-0.0032,0.1096,-0.0402,-0.3598,12.5866
4809559,0.0522,-0.0186,10.0582,-1.9558,1.0030,-0.6821,0.9940,-0.0000,-0.0031,0.1096,-0.0405,-0.3581,12.5857
4809726,0.0588,-0.0037,10.0717,-1.9385,0.9095,-0.6660,0.9940,-0.0000,-0.0031,0.1096,-0.0404,-0.3580,12.5849
