DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Inertial Mode - Rate quantities (with mag),StartTime: 2025-12-02 14:37:28.533,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
2677771,0.0273,0.0117,10.0555,-1.9408,0.8874,-0.5808,0.5859,0.8967,0.5471
2677938,0.0152,0.0152,10.0567,-1.9122,0.8541,-0.5648,0.5889,0.8933,0.5505
2678105,0.0258,0.0062,10.0546,-1.8547,0.8995,-0.6190,0.5874,0.8879,0.5486
2678271,0.0314,0.0037,10.0429,-1.8510,0.9281,-0.6479,0.5894,0.8889,0.5525
2678438,0.0366,0.0159,10.0384,-1.9243,0.9409,-0.6008,0.5869,0.8879,0.5476
2678605,0.0310,0.0120,10.0345,-1.9481,0.9436,-0.5822,0.5908,0.8894,0.5496
2678771,0.0142,0.0273,10.0874,-1.9688,0.8585,-0.6375,0.5898,0.8938,0.5491
2678938,0.0174,0.0279,10.0467,-1.9436,0.8656,-0.6402,0.5947,0.8889,0.5505
2679105,0.0181,0.0136,10.0782,-1.9253,0.9676,-0.5846,0.5879,0.8909,0.5496
2679271,0.0156,0.0200,10.0410,-1.9035,0.9283,-0.5786,0.5903,0.8918,0.5520
2679438,0.0334,0.0073,10.0377,-1.9210,0.8769,-0.6274,0.5894,0.8899,0.5496
2679605,0.0205,0.0222,10.0604,-1.8545,0.9595,-0.6567,0.5869,0.8904,0.5496
2679771,0.0291,0.0299,10.0546,-1.8902,0.8383,-0.6309,0.5908,0.8928,0.5500
2679938,0.0340,0.0127,10.0453,-1.9119,0.9033,-0.6344,0.5884,0.8938,0.5491
2680105,0.0161,0.0155,10.0338,-1.9245,0.9543,-0.5653,0.5913,0.8909,0.5505
2680271,0.0162,0.0186,10.0312,-1.9021,0.9328,-0.5011,0.5894,0.8933,0.5466
2680438,0.0232,0.0267,10.0636,-1.9565,0.8641,-0.6016,0.5918,0.8894,0.5500
2680605,0.0264,0.0143,10.0468,-1.9564,0.8952,-0.6392,0.5903,0.8894,0.5496
2680771,0.0246,0.0266,10.0651,-1.9432,0.9134,-0.6083,0.5894,0.8923,0.5486
2680938,0.0261,0.0212,10.0675,-1.9523,0.9154,-0.6320,0.5889,0.8904,0.5505
2681105,0.0092,0.0264,10.0496,-1.8529,0.8779,-0.6078,0.5918,0.8889,0.5491
2681272,0.0206,0.0307,10.0494,-1.8309,0.7697,-0.6120,0.5928,0.8923,0.5476
2681438,0.0201,0.0248,10.0417,-1.8725,0.8750,-0.6326,0.5928,0.8875,0.5491
2681605,0.0259,0.0149,10.0411,-1.9282,0.8823,-0.6147,0.5918,0.8923,0.5471
2681772,0.0262,0.0155,10.0562,-1.8736,0.9258,-0.5878,0.5913,0.8904,0.5481
2681938,0.0322,0.0204,10.0491,-1.8978,0.9306,-0.5836,0.5923,0.8909,0.5486
2682105,0.0365,0.0138,10.0659,-1.8896,0.9303,-0.5818,0.5894,0.8923,0.5510
2682272,0.0241,0.0312,10.0565,-1.9081,0.9066,-0.5957,0.5942,0.8970,0.5486
2682438,0.0299,0.0290,10.0543,-1.9466,0.8263,-0.6021,0.5850,0.8953,0.5476
2682605,0.0150,0.0082,10.0723,-1.9500,0.9266,-0.5952,0.5894,0.8909,0.5481
2682772,0.0312,0.0124,10.0237,-1.9342,0.9382,-0.6331,0.5908,0.8923,0.5525
2682938,0.0243,0.0057,10.0756,-1.8343,0.9135,-0.5870,0.5874,0.8831,0.5500
2683105,0.0250,0.0318,10.0386,-1.9437,0.7818,-0.6757,0.5894,0.8943,0.5510
2683272,0.0225,0.0138,10.0574,-1.9525,0.8861,-0.6287,0.5889,0.8923,0.5491
2683438,0.0190,0.0225,10.0533,-1.8801,0.8914,-0.5940,0.5908,0.8909,0.5491
2683605,0.0249,0.0083,10.0342,-1.9490,0.9797,-0.6330,0.5898,0.8909,0.5525
2683772,0.0238,0.0147,10.0705,-1.9763,0.8875,-0.6296,0.5894,0.8899,0.5525
2683938,0.0299,0.0152,10.0600,-1.9163,0.9413,-0.6331,0.5884,0.8918,0.5520
2684105,0.0291,0.0105,10.0316,-1.9297,0.9211,-0.6874,0.5898,0.8923,0.5510
2684272,0.0233,0.0280,10.0688,-1.9661,0.8607,-0.5992,0.5898,0.8923,0.5491
2684438,0.0237,0.0232,10.0514,-1.8596,0.8955,-0.5954,0.5913,0.8918,0.5471
2684605,0.0218,0.0221,10.0369,-1.9414,0.9436,-0.5844,0.5903,0.8909,0.5481
2684772,0.0084,0.0159,10.0553,-1.8531,1.0148,-0.6246,0.5889,0.8928,0.5535
2684938,0.0281,0.0274,10.0550,-1.9187,0.8307,-0.6419,0.5913,0.8865,0.5500
2685105,0.0211,0.0208,10.0716,-1.9665,0.8388,-0.6329,0.5874,0.8953,0.5476
2685272,0.0243,0.0129,10.0388,-1.9175,0.8332,-0.5658,0.5913,0.8914,0.5520
2685438,0.0228,0.0174,10.0436,-1.8796,0.9614,-0.5922,0.5889,0.8977,0.5510
2685605,0.0256,0.0185,10.0569,-1.9295,0.8902,-0.5917,0.5894,0.8918,0.5515
2685772,0.0151,0.0119,10.0698,-1.9226,0.8878,-0.5835,0.5894,0.8889,0.5481
2685938,0.0189,0.0271,10.0240,-1.9421,0.8945,-0.5504,0.5908,0.8899,0.5505
2686105,0.0380,0.0160,10.0626,-1.9725,0.9028,-0.5833,0.5903,0.8894,0.5520
2686272,0.0264,0.0251,10.0592,-1.9883,0.9892,-0.6280,0.5850,0.8894,0.5515
2686438,0.0157,0.0423,10.0648,-1.9041,0.7960,-0.5516,0.5874,0.8899,0.5505
2686605,0.0253,0.0345,10.0467,-1.9038,0.8806,-0.5810,0.5898,0.8884,0.5491
2686772,0.0184,0.0082,10.0395,-1.8512,0.9350,-0.6794,0.5864,0.8879,0.5481
2686938,0.0110,0.0101,10.0542,-1.8946,0.9072,-0.5838,0.5894,0.8894,0.5525
2687105,0.0244,0.0225,10.0549,-1.9080,0.9518,-0.5772,0.5884,0.8899,0.5520
2687272,0.0336,0.0197,10.0769,-1.8786,0.9128,-0.5347,0.5913,0.8909,0.5496
2687438,0.0188,0.0240,10.0422,-1.9721,0.9453,-0.5757,0.5938,0.8933,0.5471
2687605,0.0296,0.0146,10.0440,-1.9058,0.8773,-0.6870,0.5913,0.8894,0.5525
2687772,0.0261,0.0231,10.0553,-1.8440,0.7946,-0.6220,0.5913,0.8928,0.5500
2687938,0.0388,0.0191,10.0568,-1.9179,0.9235,-0.5965,0.5864,0.8894,0.5476
2688105,0.0181,0.0173,10.0434,-1.9137,0.9377,-0.5384,0.5874,0.8909,0.5510
2688272,0.0017,0.0165,10.0359,-1.9419,0.9117,-0.6549,0.5903,0.8904,0.5452
2688438,0.0155,0.0109,10.0529,-1.9284,0.9689,-0.6576,0.5898,0.8904,0.5466
2688605,0.0217,0.0260,10.0676,-1.9081,0.9201,-0.6196,0.5903,0.8899,0.5476
2688772,0.0241,0.0158,10.0432,-1.9469,0.8802,-0.6587,0.5898,0.8904,0.5461
2688938,0.0304,0.0071,10.0314,-1.9075,0.9230,-0.6378,0.5889,0.8879,0.5476
2689105,0.0277,0.0074,10.0305,-1.8944,0.8998,-0.5845,0.5859,0.8933,0.5505
2689272,0.0317,0.0277,10.0428,-1.9250,0.9280,-0.6002,0.5884,0.8904,0.5496
2689438,0.0175,0.0422,10.0346,-1.9432,0.8522,-0.5601,0.5908,0.8904,0.5540
2689605,0.0307,0.0323,10.0440,-1.8551,0.8424,-0.5272,0.5894,0.8909,0.5491
2689772,0.0262,0.0274,10.0534,-1.9580,0.8297,-0.6418,0.5903,0.8899,0.5496
2689938,0.0145,0.0082,10.0508,-1.8966,0.9652,-0.6281,0.5889,0.8928,0.5461
2690105,0.0333,0.0211,10.0695,-1.9309,0.8754,-0.5747,0.5894,0.8938,0.5540
2690272,0.0402,0.0274,10.0584,-1.9459,0.8779,-0.6748,0.5908,0.8943,0.5476
2690438,0.0257,0.0232,10.0621,-1.9283,0.8874,-0.6563,0.5908,0.8938,0.5500
2690605,0.0243,0.0328,10.0693,-1.8492,0.8210,-0.5540,0.5898,0.8889,0.5505
2690772,0.0331,0.0268,10.0691,-1.9137,0.9328,-0.6077,0.5864,0.8933,0.5500
2690938,0.0267,0.0078,10.0701,-1.8370,0.8046,-0.6176,0.5884,0.8928,0.5496
2691105,0.0239,0.0081,10.0647,-1.9760,0.9438,-0.6304,0.5908,0.8899,0.5505
2691272,0.0213,0.0242,10.0395,-1.9312,0.8706,-0.6564,0.5874,0.8933,0.5496
2691438,0.0270,0.0266,10.0675,-1.9185,0.9628,-0.6660,0.5918,0.8894,0.5496
2691605,0.0261,0.0349,10.0468,-1.8957,0.9640,-0.6137,0.5889,0.8918,0.5500
2691772,0.0206,0.0183,10.0592,-1.9505,0.9083,-0.6271,0.5928,0.8914,0.5491
2691938,0.0245,0.0268,10.0429,-2.0055,0.9034,-0.5796,0.5884,0.8933,0.5505
2692105,0.0268,0.0245,10.0532,-1.9432,0.9240,-0.6235,0.5898,0.8909,0.5486
2692272,0.0338,0.0263,10.0340,-1.9360,0.8205,-0.6344,0.5894,0.8914,0.5481
2692438,0.0190,0.0234,10.0463,-1.8845,0.8813,-0.6585,0.5952,0.8931,0.5491
2692605,0.0104,0.0229,10.0523,-1.8846,0.8510,-0.6538,0.5884,0.8909,0.5486
2692772,0.0065,0.0327,10.0706,-1.9113,0.8743,-0.5624,0.5894,0.8928,0.5466
2692938,0.0186,0.0329,10.0501,-1.8698,0.9740,-0.6099,0.5903,0.8884,0.5515
2693105,0.0212,0.0161,10.0233,-1.9201,0.8655,-0.5552,0.5918,0.8904,0.5510
2693272,0.0333,0.0301,10.0576,-1.9188,0.9278,-0.6159,0.5879,0.8889,0.5510
2693438,0.0246,0.0217,10.0573,-1.9041,0.9034,-0.5990,0.5923,0.8904,0.5481
2693605,0.0269,0.0235,10.0493,-1.9810,0.9266,-0.5894,0.5889,0.8928,0.5510
2693772,0.0176,0.0179,10.0494,-1.8711,0.8899,-0.6148,0.5923,0.8909,0.5481
2693938,0.0194,0.0129,10.0566,-1.9152,0.8585,-0.6574,0.5938,0.8945,0.5525
2694105,0.0337,0.0153,10.0778,-1.8527,0.9180,-0.5906,0.5908,0.8894,0.5520
2694272,0.0327,0.0100,10.0441,-1.9213,0.9132,-0.5735,0.5894,0.8923,0.5476
2694438,0.0291,0.0209,10.0602,-1.9676,0.8694,-0.6112,0.5898,0.8948,0.5510
2694605,0.0112,0.0032,10.0386,-1.9884,0.9423,-0.6161,0.5903,0.8894,0.5476
2694772,0.0320,0.0188,10.0542,-1.9346,0.8683,-0.5698,0.5918,0.8909,0.5510
2694938,0.0110,0.0197,10.0572,-1.9212,0.9069,-0.6099,0.5908,0.8899,0.5515
2695105,0.0296,0.0129,10.0506,-1.9409,0.8985,-0.6100,0.5894,0.8909,0.5491
2695272,0.0325,0.0226,10.0441,-1.9163,0.8984,-0.6526,0.5928,0.8899,0.5505
2695438,0.0244,0.0263,10.0251,-1.8551,0.8778,-0.5686,0.5845,0.8948,0.5500
2695605,0.0181,0.0274,10.0769,-1.8966,0.9010,-0.6307,0.5889,0.8894,0.5491
2695772,0.0179,0.0176,10.0660,-1.8552,0.8716,-0.6574,0.5879,0.8923,0.5515
2695938,0.0281,0.0151,10.0382,-1.9065,0.9203,-0.6467,0.5903,0.8899,0.5500
2696105,0.0266,0.0254,10.0388,-1.8772,0.9144,-0.6027,0.5889,0.8943,0.5471
2696272,0.0274,0.0242,10.0617,-1.9518,0.9106,-0.5529,0.5894,0.8904,0.5500
2696438,0.0256,0.0049,10.0415,-1.9579,0.9810,-0.6247,0.5879,0.8899,0.5520
2696605,0.0242,0.0177,10.0843,-1.9859,0.9132,-0.5686,0.5918,0.8884,0.5491
2696772,0.0295,0.0054,10.0579,-1.9187,0.8877,-0.6150,0.5898,0.8909,0.5481
2696938,0.0266,0.0233,10.0493,-1.9312,0.9338,-0.5164,0.5908,0.8860,0.5476
2697105,0.0235,0.0142,10.0586,-1.9210,0.8962,-0.6112,0.5898,0.8904,0.5486
2697272,0.0140,0.0055,10.0568,-1.9028,0.8875,-0.6210,0.5898,0.8889,0.5500
2697438,0.0178,0.0215,10.0520,-1.9151,0.9498,-0.6162,0.5933,0.8909,0.5486
2697605,0.0346,0.0289,10.0496,-1.9125,0.7599,-0.5892,0.5923,0.8899,0.5520
2697772,0.0183,0.0262,10.0757,-2.0264,0.8752,-0.6027,0.5918,0.8909,0.5530
2697939,0.0235,0.0152,10.0451,-1.8727,0.8573,-0.5819,0.5884,0.8909,0.5505
2698105,0.0282,0.0257,10.0498,-1.8979,0.8935,-0.6124,0.5898,0.8909,0.5525
2698272,0.0258,0.0155,10.0593,-1.9358,0.9315,-0.5929,0.5874,0.8904,0.5496
2698439,0.0222,0.0213,10.0568,-1.9518,0.8535,-0.6452,0.5908,0.8923,0.5500
2698605,0.0221,0.0226,10.0517,-1.8723,0.9290,-0.6684,0.5923,0.8894,0.5530
2698772,0.0284,0.0297,10.0567,-1.9455,0.9507,-0.6914,0.5923,0.8953,0.5481
2698939,0.0236,0.0157,10.0535,-1.8673,0.9037,-0.6354,0.5903,0.8899,0.5476
2699105,0.0208,0.0131,10.0501,-1.9102,0.8777,-0.5908,0.5894,0.8918,0.5530
2699272,0.0244,0.0203,10.0770,-1.9444,0.8922,-0.6453,0.5898,0.8899,0.5525
2699439,0.0252,0.0210,10.0663,-1.9726,0.8376,-0.5846,0.5879,0.8894,0.5544
2699605,0.0067,0.0161,10.0513,-1.9345,0.9364,-0.7096,0.5884,0.8899,0.5549
2699772,0.0404,0.0278,10.0652,-1.9643,0.8364,-0.5893,0.5918,0.8933,0.5540
2699939,0.0226,0.0214,10.0826,-1.8921,0.9823,-0.6539,0.5903,0.8918,0.5525
2700105,0.0214,0.0188,10.0719,-1.9185,0.8946,-0.5906,0.5894,0.8909,0.5535
2700272,0.0216,0.0175,10.0867,-1.9469,0.9594,-0.6245,0.5947,0.8916,0.5544
2700439,0.0153,0.0232,10.0641,-1.9445,0.8756,-0.6332,0.5894,0.8928,0.5554
2700605,0.0301,0.0229,10.0473,-1.9383,0.8825,-0.6195,0.5869,0.8899,0.5549
2700772,0.0318,0.0243,10.0663,-1.9369,0.7841,-0.6330,0.5923,0.8894,0.5530
2700939,0.0300,0.0171,10.0541,-1.9873,0.8828,-0.6225,0.5894,0.8909,0.5554
2701105,0.0158,0.0238,10.0341,-1.9015,0.8824,-0.5492,0.5918,0.8914,0.5540
2701272,0.0204,0.0205,10.0683,-1.9397,0.8830,-0.6393,0.5894,0.8918,0.5549
2701439,0.0251,0.0048,10.0512,-1.8989,0.7943,-0.6284,0.5898,0.8923,0.5491
2701605,0.0164,0.0246,10.0569,-1.9433,0.8365,-0.5483,0.5903,0.8923,0.5549
2701772,0.0333,0.0169,10.0519,-1.8784,0.7843,-0.5353,0.5908,0.8914,0.5500
2701939,0.0272,0.0089,10.0604,-1.9258,0.8903,-0.6660,0.5923,0.8914,0.5496
2702105,0.0334,0.0109,10.0569,-1.9336,0.8638,-0.5881,0.5889,0.8909,0.5461
2702272,0.0349,0.0275,10.0562,-1.9409,0.8912,-0.5749,0.5908,0.8904,0.5510
2702439,0.0288,0.0198,10.0454,-1.9236,0.8069,-0.6452,0.5913,0.8918,0.5505
2702605,0.0262,0.0228,10.0436,-1.9324,0.8335,-0.5881,0.5908,0.8923,0.5481
2702772,0.0192,0.0174,10.0285,-1.9186,0.8571,-0.6243,0.5874,0.8899,0.5535
2702939,0.0219,0.0114,10.0589,-1.9224,0.8769,-0.5622,0.5938,0.8933,0.5491
2703105,0.0276,0.0221,10.0522,-1.9262,0.8451,-0.5705,0.5894,0.8909,0.5510
2703272,0.0268,0.0174,10.0414,-1.9163,0.9066,-0.5833,0.5903,0.8909,0.5505
2703439,0.0138,0.0311,10.0600,-1.9603,0.8110,-0.6260,0.5874,0.8894,0.5530
2703605,0.0373,0.0079,10.0441,-1.8942,0.8936,-0.6318,0.5913,0.8904,0.5500
2703772,0.0132,0.0149,10.0664,-1.9079,0.8535,-0.7133,0.5918,0.8884,0.5491
2703939,0.0227,0.0219,10.0520,-1.9261,0.8791,-0.6430,0.5879,0.8894,0.5496
2704105,0.0239,0.0326,10.0488,-1.8969,0.9266,-0.5906,0.5903,0.8904,0.5510
2704272,0.0201,0.0081,10.0545,-1.9113,0.8370,-0.5858,0.5879,0.8894,0.5500
2704439,0.0207,0.0299,10.0442,-1.9234,0.8945,-0.5987,0.5879,0.8909,0.5500
2704605,0.0149,0.0187,10.0599,-1.9286,0.8115,-0.6311,0.5933,0.8879,0.5505
2704772,0.0143,0.0251,10.0687,-1.8381,0.8055,-0.5750,0.5889,0.8899,0.5520
2704939,0.0245,0.0275,10.0698,-1.9250,0.9118,-0.6338,0.5933,0.8899,0.5544
2705105,0.0277,0.0190,10.0808,-1.9675,0.8610,-0.6251,0.5894,0.8918,0.5510
2705272,0.0186,0.0198,10.0454,-1.8967,0.8170,-0.5403,0.5894,0.8904,0.5471
2705439,0.0212,0.0250,10.0396,-1.9239,0.7967,-0.5886,0.5903,0.8948,0.5505
2705605,0.0256,0.0256,10.0731,-1.8736,0.8852,-0.5701,0.5874,0.8894,0.5510
2705772,0.0318,0.0251,10.0626,-1.8306,0.8874,-0.6161,0.5894,0.8918,0.5491
2705939,0.0213,0.0219,10.0818,-1.9345,0.9694,-0.6527,0.5894,0.8953,0.5496
2706105,0.0187,0.0232,10.0509,-1.9506,0.7769,-0.6260,0.5908,0.8909,0.5505
2706272,0.0394,0.0251,10.0775,-1.8454,0.8275,-0.6048,0.5894,0.8884,0.5505
2706439,0.0334,0.0161,10.0395,-1.8648,0.9144,-0.6180,0.5933,0.8953,0.5520
2706605,0.0166,0.0144,10.0312,-1.9252,0.9532,-0.6257,0.5898,0.8904,0.5525
2706772,0.0308,0.0133,10.0464,-1.8151,0.9083,-0.6406,0.5933,0.8899,0.5486
2706939,0.0177,0.0117,10.0585,-1.9040,0.8488,-0.5513,0.5898,0.8865,0.5496
2707105,0.0357,-0.0021,10.0734,-1.9380,0.9498,-0.5983,0.5884,0.8904,0.5461
2707272,0.0302,0.0154,10.0564,-1.9591,0.9043,-0.5624,0.5918,0.8918,0.5540
2707439,0.0364,0.0157,10.0493,-1.8355,0.9831,-0.4989,0.5903,0.8909,0.5515
2707605,0.0253,0.0374,10.0433,-1.9105,0.8954,-0.6083,0.5923,0.8879,0.5515
2707772,0.0205,0.0090,10.0396,-1.8834,0.9112,-0.5439,0.5928,0.8940,0.5574
2707939,0.0248,0.0151,10.0732,-1.8403,0.9261,-0.5881,0.5898,0.8904,0.5496
2708105,0.0252,0.0212,10.0289,-1.8684,0.9461,-0.5948,0.5889,0.8943,0.5515
2708272,0.0091,0.0281,10.0241,-1.8834,0.9275,-0.6316,0.5879,0.8938,0.5500
2708439,0.0201,0.0381,10.0620,-1.9034,0.9268,-0.6421,0.5874,0.8958,0.5515
2708605,0.0260,0.0305,10.0484,-1.9172,0.8382,-0.6513,0.5894,0.8870,0.5491
2708772,0.0266,0.0149,10.0539,-1.8712,0.8554,-0.6090,0.5913,0.8904,0.5452
2708939,0.0148,0.0153,10.0464,-1.9424,0.9033,-0.5853,0.5869,0.8909,0.5500
2709105,0.0331,0.0088,10.0381,-1.9209,0.8852,-0.5306,0.5879,0.8884,0.5466
2709272,0.0290,0.0170,10.0575,-1.9484,0.8837,-0.6317,0.5923,0.8923,0.5520
2709439,0.0264,0.0254,10.0659,-1.8841,0.8756,-0.6204,0.5913,0.8899,0.5486
2709605,0.0186,0.0104,10.0536,-1.9343,0.8450,-0.6436,0.5913,0.8928,0.5461
2709772,0.0131,0.0103,10.0284,-1.8784,0.8969,-0.5946,0.5908,0.8894,0.5476
2709939,0.0257,0.0312,10.0430,-1.9497,0.8688,-0.6399,0.5908,0.8918,0.5520
2710105,0.0172,0.0183,10.0626,-1.8186,0.9000,-0.6393,0.5908,0.8894,0.5510
2710272,0.0245,0.0259,10.0607,-1.8657,0.8865,-0.5575,0.5889,0.8918,0.5505
2710439,0.0245,0.0264,10.0390,-1.9118,0.8079,-0.6260,0.5884,0.8923,0.5486
2710605,0.0241,0.0174,10.0335,-1.9342,0.8915,-0.6134,0.5879,0.8899,0.5491
2710772,0.0212,0.0254,10.0450,-1.9446,0.9503,-0.6263,0.5913,0.8928,0.5520
2710939,0.0146,0.0082,10.0631,-1.9591,0.9283,-0.5793,0.5908,0.8879,0.5530
2711105,0.0289,0.0255,10.0672,-1.9634,0.8538,-0.6074,0.5894,0.8904,0.5496
2711272,0.0250,0.0131,10.0373,-1.9069,0.8871,-0.5645,0.5898,0.8914,0.5491
2711439,0.0126,0.0269,10.0551,-1.8874,0.8618,-0.5925,0.5898,0.8928,0.5491
2711605,0.0430,0.0292,10.0660,-1.9542,1.0082,-0.6535,0.5884,0.8904,0.5491
2711772,0.0161,0.0188,10.0603,-1.9482,0.9621,-0.6709,0.5869,0.8923,0.5486
2711939,0.0169,0.0172,10.0402,-1.9501,0.9243,-0.6599,0.5908,0.8918,0.5486
2712105,0.0255,0.0227,10.0503,-1.8693,0.8895,-0.6093,0.5908,0.8928,0.5476
2712272,0.0180,0.0100,10.0436,-1.8644,0.9656,-0.5674,0.5894,0.8899,0.5530
2712439,0.0230,0.0200,10.0676,-1.9135,0.8568,-0.5602,0.5884,0.8928,0.5544
2712605,0.0346,0.0064,10.0366,-1.8782,0.8595,-0.5747,0.5918,0.8904,0.5530
2712772,0.0081,0.0154,10.0612,-1.8854,0.9285,-0.5748,0.5933,0.8914,0.5505
2712939,0.0117,0.0104,10.0530,-1.8572,0.8786,-0.6222,0.5918,0.8894,0.5471
2713105,0.0183,0.0110,10.0501,-1.9441,0.8523,-0.6253,0.5903,0.8889,0.5491
2713272,0.0239,0.0156,10.0615,-1.9184,0.9427,-0.6417,0.5894,0.8914,0.5486
2713439,0.0253,0.0139,10.0485,-1.9370,0.9826,-0.6125,0.5898,0.8933,0.5491
2713605,0.0258,0.0178,10.0450,-1.9384,0.8179,-0.5138,0.5889,0.8918,0.5515
2713772,0.0283,0.0299,10.0470,-1.9093,1.0009,-0.6139,0.5928,0.8884,0.5520
2713939,0.0173,0.0130,10.0754,-1.9074,0.8878,-0.6191,0.5894,0.8899,0.5510
2714105,0.0300,0.0211,10.0600,-1.9677,0.8351,-0.5390,0.5923,0.8918,0.5466
2714272,0.0092,0.0221,10.0505,-1.8795,0.9043,-0.6320,0.5908,0.8889,0.5481
2714439,0.0255,0.0253,10.0385,-1.9547,0.8998,-0.6264,0.5898,0.8909,0.5491
2714606,0.0245,0.0168,10.0258,-1.8863,0.9095,-0.5935,0.5903,0.8909,0.5510
2714772,0.0275,0.0196,10.0581,-1.8699,0.8869,-0.6436,0.5869,0.8923,0.5471
2714939,0.0280,0.0172,10.0353,-1.9056,0.9658,-0.6058,0.5923,0.8904,0.5530
2715106,0.0253,0.0290,10.0449,-1.8739,0.9818,-0.6389,0.5894,0.8909,0.5476
2715272,0.0272,0.0309,10.0804,-1.9518,0.8642,-0.5665,0.5884,0.8933,0.5466
2715439,0.0289,0.0100,10.0432,-1.9444,0.8805,-0.6474,0.5894,0.8918,0.5471
2715606,0.0225,0.0203,10.0527,-1.9444,0.9326,-0.5656,0.5874,0.8909,0.5515
2715772,0.0166,0.0152,10.0552,-1.9307,0.8527,-0.6337,0.5903,0.8889,0.5505
2715939,0.0276,0.0198,10.0357,-1.8664,0.8027,-0.6070,0.5889,0.8899,0.5471
2716106,0.0389,0.0270,10.0691,-1.8858,0.8148,-0.5775,0.5874,0.8918,0.5481
2716272,0.0289,0.0173,10.0741,-1.9853,0.8575,-0.6253,0.5903,0.8943,0.5496
2716439,0.0154,0.0072,10.0765,-1.9236,0.8963,-0.6758,0.5894,0.8894,0.5466
2716606,0.0052,0.0159,10.0481,-1.9463,0.9371,-0.6061,0.5913,0.8909,0.5525
2716772,0.0270,0.0164,10.0715,-1.9591,0.8465,-0.5979,0.5898,0.8918,0.5510
2716939,0.0208,0.0287,10.0575,-1.9463,0.9520,-0.6298,0.5884,0.8914,0.5491
2717106,0.0213,0.0074,10.0468,-1.9750,0.9120,-0.5333,0.5894,0.8909,0.5500
2717272,0.0133,0.0215,10.0802,-1.8854,0.9358,-0.6289,0.5903,0.8933,0.5544
2717439,0.0280,0.0156,10.0647,-1.9243,0.9436,-0.6222,0.5869,0.8923,0.5471
2717606,0.0335,0.0104,10.0701,-1.9801,0.8595,-0.6301,0.5942,0.8923,0.5505
2717772,0.0254,0.0169,10.0429,-1.9690,0.8918,-0.4556,0.5913,0.8899,0.5500
2717939,0.0312,0.0120,10.0514,-1.9747,0.8337,-0.5836,0.5923,0.8928,0.5486
2718106,0.0097,0.0195,10.0541,-1.9584,0.9392,-0.6443,0.5898,0.8904,0.5452
2718272,0.0227,0.0184,10.0424,-1.9138,0.9607,-0.6693,0.5879,0.8918,0.5496
2718439,0.0120,0.0267,10.0403,-1.9483,0.9215,-0.5703,0.5894,0.8884,0.5486
2718606,0.0367,0.0149,10.0599,-1.9208,0.9758,-0.6020,0.5879,0.8938,0.5486
2718772,0.0247,0.0197,10.0563,-1.9252,0.8931,-0.5965,0.5864,0.8894,0.5481
2718939,0.0354,0.0221,10.0898,-1.9422,0.9516,-0.5815,0.5908,0.8894,0.5461
2719106,0.0317,0.0237,10.0309,-1.8925,0.9161,-0.5762,0.5894,0.8914,0.5486
2719272,0.0246,0.0331,10.0390,-1.9037,0.8711,-0.6170,0.5908,0.8928,0.5530
2719439,0.0315,0.0197,10.0593,-1.9408,0.8921,-0.5522,0.5889,0.8899,0.5505
2719606,0.0188,0.0312,10.0743,-1.8381,0.9036,-0.6338,0.5884,0.8904,0.5505
2719772,0.0265,0.0190,10.0480,-1.9167,0.8947,-0.5998,0.5889,0.8894,0.5471
2719939,0.0152,0.0147,10.0503,-1.8430,0.9328,-0.5508,0.5894,0.8923,0.5486
2720106,0.0221,0.0192,10.0470,-1.9148,0.8464,-0.6473,0.5923,0.8914,0.5505
2720272,0.0153,0.0170,10.0647,-1.8869,0.8949,-0.5428,0.5913,0.8904,0.5496
2720439,0.0150,0.0213,10.0489,-1.8969,0.9714,-0.5979,0.5918,0.8909,0.5520
2720606,0.0177,0.0217,10.0644,-1.8752,0.8698,-0.6151,0.5894,0.8904,0.5432
2720772,0.0189,0.0343,10.0653,-1.9126,0.8066,-0.5823,0.5874,0.8884,0.5535
2720939,0.0261,0.0053,10.0570,-1.9171,0.9665,-0.6010,0.5913,0.8899,0.5500
2721106,0.0336,0.0181,10.0484,-1.9700,0.8896,-0.6125,0.5898,0.8914,0.5457
2721272,0.0172,0.0105,10.0368,-1.9387,0.9127,-0.6222,0.5898,0.8928,0.5496
2721439,0.0344,0.0344,10.0555,-1.9244,0.8754,-0.5561,0.5903,0.8943,0.5520
2721606,0.0354,0.0071,10.0592,-1.8715,0.7947,-0.5970,0.5923,0.8879,0.5491
2721772,0.0327,0.0119,10.0505,-1.9148,0.9447,-0.6676,0.5884,0.8899,0.5505
2721939,0.0317,0.0304,10.0505,-1.9437,0.9711,-0.6447,0.5859,0.8899,0.5510
2722106,0.0339,0.0185,10.0640,-1.9261,0.8844,-0.6368,0.5889,0.8923,0.5525
2722272,0.0350,0.0218,10.0691,-1.9105,0.8896,-0.5723,0.5859,0.8918,0.5505
2722439,0.0258,0.0135,10.0648,-1.9261,0.8824,-0.5865,0.5908,0.8894,0.5505
2722606,0.0200,0.0075,10.0646,-1.9229,0.8624,-0.5666,0.5913,0.8918,0.5500
