DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Inertial Mode - Rate quantities (with mag),StartTime: 2025-12-02 14:37:28.533,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
2648104,0.0242,0.0210,10.0548,-1.8803,0.8778,-0.6837,0.5869,0.8904,0.5505
2648271,0.0228,0.0147,10.0609,-1.8283,0.9228,-0.5421,0.5894,0.8914,0.5559
2648438,0.0211,0.0168,10.0517,-1.8313,0.8966,-0.6842,0.5894,0.8938,0.5554
2648604,0.0158,0.0096,10.0514,-1.9389,0.9580,-0.6460,0.5918,0.8914,0.5569
2648771,0.0137,0.0317,10.0596,-1.8523,0.9028,-0.7129,0.5894,0.8914,0.5515
2648938,0.0171,-0.0041,10.0654,-1.9232,0.9715,-0.6282,0.5889,0.8899,0.5554
2649104,0.0270,0.0286,10.0446,-1.8784,0.9064,-0.5912,0.5894,0.8894,0.5559
2649271,0.0158,0.0146,10.0491,-1.9376,0.8650,-0.6731,0.5879,0.8948,0.5535
2649438,0.0183,0.0152,10.0440,-1.8284,0.8747,-0.5984,0.5908,0.8938,0.5510
2649604,0.0348,0.0241,10.0564,-1.8948,0.8974,-0.6160,0.5889,0.8889,0.5564
2649771,0.0135,0.0332,10.0618,-1.9327,0.9478,-0.5922,0.5894,0.8904,0.5569
2649938,0.0397,0.0174,10.0427,-1.9027,0.8923,-0.6344,0.5913,0.8894,0.5505
2650104,0.0277,0.0234,10.0594,-1.8644,0.9917,-0.5960,0.5913,0.8914,0.5515
2650271,0.0206,0.0216,10.0678,-1.9163,0.9154,-0.6196,0.5903,0.8909,0.5515
2650438,0.0234,0.0087,10.0651,-1.8748,0.9289,-0.5357,0.5894,0.8918,0.5535
2650604,0.0335,0.0163,10.0612,-1.9272,0.9107,-0.5741,0.5889,0.8923,0.5491
