DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-11-10 09:21:00.404,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
4238586,0.9745,-0.0205,0.0037,-0.2236,0.0618,0.2528,-0.0100,0
4238753,0.9745,-0.0207,0.0037,-0.2236,0.0452,0.2677,-0.0045,0
4238919,0.9745,-0.0210,0.0037,-0.2236,0.0458,0.2669,0.0074,0
4239086,0.9744,-0.0212,0.0036,-0.2236,0.0559,0.2790,0.0009,0
4239253,0.9744,-0.0214,0.0036,-0.2236,0.0574,0.2854,0.0074,0
4239419,0.9744,-0.0216,0.0036,-0.2236,0.0438,0.2824,-0.0005,0
4239586,0.9745,-0.0218,0.0036,-0.2235,0.0506,0.2956,0.0079,0
4239753,0.9744,-0.0220,0.0036,-0.2236,0.0569,0.3020,0.0169,0
4239919,0.9744,-0.0223,0.0036,-0.2236,0.0600,0.3145,0.0050,0
4240086,0.9744,-0.0225,0.0036,-0.2236,0.0481,0.2993,-0.0063,0
4240253,0.9744,-0.0227,0.0035,-0.2235,0.0518,0.3036,-0.0046,0
4240419,0.9744,-0.0229,0.0035,-0.2235,0.0577,0.3195,0.0029,0
4240586,0.9744,-0.0231,0.0035,-0.2235,0.0633,0.3231,-0.0042,0
4240753,0.9744,-0.0233,0.0035,-0.2235,0.0596,0.3160,0.0033,0
4240919,0.9744,-0.0235,0.0035,-0.2235,0.0634,0.3082,-0.0096,0
4241086,0.9744,-0.0237,0.0035,-0.2235,0.0659,0.3373,0.0033,0
4241253,0.9744,-0.0239,0.0035,-0.2236,0.0642,0.3367,-0.0009,0
4241420,0.9744,-0.0241,0.0035,-0.2236,0.0486,0.3248,-0.0037,0
4241586,0.9744,-0.0243,0.0035,-0.2236,0.0484,0.3496,0.0001,0
4241753,0.9744,-0.0245,0.0035,-0.2236,0.0589,0.3321,-0.0076,0
4241920,0.9744,-0.0247,0.0034,-0.2236,0.0562,0.3431,-0.0143,0
4242086,0.9744,-0.0249,0.0034,-0.2235,0.0745,0.3545,-0.0010,0
4242253,0.9744,-0.0251,0.0034,-0.2236,0.0774,0.3454,0.0107,0
4242420,0.9744,-0.0253,0.0034,-0.2235,0.0608,0.3631,0.0226,0
4242586,0.9744,-0.0255,0.0034,-0.2235,0.0622,0.3635,-0.0168,0
4242753,0.9744,-0.0257,0.0034,-0.2235,0.0730,0.3762,-0.0055,0
4242920,0.9744,-0.0259,0.0034,-0.2234,0.0712,0.3688,-0.0119,0
4243086,0.9744,-0.0261,0.0034,-0.2235,0.0654,0.3832,-0.0195,0
4243253,0.9743,-0.0263,0.0034,-0.2235,0.0608,0.3821,-0.0083,0
4243420,0.9744,-0.0264,0.0034,-0.2234,0.0669,0.3769,0.0178,0
4243586,0.9744,-0.0266,0.0034,-0.2234,0.0727,0.3817,0.0084,0
4243753,0.9744,-0.0268,0.0033,-0.2234,0.0744,0.3945,-0.0092,0
4243920,0.9744,-0.0270,0.0033,-0.2234,0.0662,0.3874,-0.0069,0
4244086,0.9744,-0.0271,0.0033,-0.2233,0.0787,0.3936,0.0177,0
4244253,0.9743,-0.0273,0.0033,-0.2234,0.0795,0.4121,0.0007,0
4244420,0.9743,-0.0275,0.0033,-0.2233,0.0600,0.3841,-0.0164,0
4244586,0.9744,-0.0276,0.0033,-0.2233,0.0685,0.4072,0.0074,0
4244753,0.9743,-0.0278,0.0033,-0.2233,0.0716,0.3913,-0.0195,0
4244920,0.9743,-0.0280,0.0033,-0.2233,0.0738,0.4160,-0.0121,0
4245086,0.9743,-0.0281,0.0033,-0.2233,0.0673,0.4164,-0.0002,0
4245253,0.9743,-0.0283,0.0033,-0.2233,0.0737,0.4135,0.0061,0
4245420,0.9743,-0.0285,0.0033,-0.2233,0.0675,0.4054,0.0056,0
4245586,0.9743,-0.0286,0.0033,-0.2233,0.0857,0.4326,-0.0100,0
4245753,0.9743,-0.0288,0.0033,-0.2232,0.0704,0.4258,-0.0002,0
4245920,0.9743,-0.0289,0.0033,-0.2232,0.0790,0.4157,0.0079,0
4246086,0.9743,-0.0290,0.0033,-0.2233,0.0781,0.4278,-0.0292,0
4246253,0.9743,-0.0292,0.0033,-0.2232,0.0661,0.4279,-0.0168,0
4246420,0.9743,-0.0293,0.0033,-0.2232,0.0753,0.4278,0.0071,0
4246586,0.9743,-0.0294,0.0032,-0.2233,0.0722,0.4262,-0.0167,0
4246753,0.9743,-0.0296,0.0032,-0.2233,0.0788,0.4411,0.0087,0
4246920,0.9743,-0.0297,0.0032,-0.2232,0.0801,0.4453,0.0092,0
4247086,0.9743,-0.0298,0.0032,-0.2233,0.0784,0.4412,-0.0067,0
4247253,0.9743,-0.0299,0.0032,-0.2233,0.0809,0.4473,-0.0278,0
4247420,0.9743,-0.0301,0.0032,-0.2233,0.0676,0.4549,-0.0021,0
4247586,0.9743,-0.0302,0.0032,-0.2234,0.0756,0.4341,-0.0030,0
4247753,0.9743,-0.0303,0.0032,-0.2234,0.0764,0.4528,-0.0081,0
4247920,0.9742,-0.0304,0.0032,-0.2234,0.0873,0.4552,-0.0126,0
4248086,0.9742,-0.0305,0.0032,-0.2235,0.0790,0.4557,0.0031,0
4248253,0.9742,-0.0306,0.0032,-0.2235,0.0945,0.4578,0.0037,0
4248420,0.9742,-0.0307,0.0032,-0.2236,0.0852,0.4620,-0.0002,0
4248586,0.9746,-0.0065,0.0043,-0.2238,0.0014,-0.0111,-0.0005,0
4248753,0.9746,-0.0065,0.0043,-0.2238,-0.0095,0.0004,0.0195,0
4248920,0.9746,-0.0066,0.0043,-0.2239,-0.0057,-0.0001,0.0075,0
4249086,0.9746,-0.0066,0.0043,-0.2239,0.0048,0.0049,0.0112,0
4249253,0.9746,-0.0066,0.0043,-0.2239,-0.0144,0.0040,0.0112,0
4249420,0.9746,-0.0065,0.0043,-0.2239,-0.0016,0.0049,-0.0122,0
4249586,0.9746,-0.0065,0.0043,-0.2239,-0.0044,-0.0004,0.0171,0
4249753,0.9746,-0.0065,0.0043,-0.2239,0.0032,0.0136,-0.0017,0
4249920,0.9746,-0.0065,0.0043,-0.2239,0.0039,0.0012,-0.0009,0
4250086,0.9746,-0.0065,0.0043,-0.2239,-0.0008,0.0034,0.0203,0
4250253,0.9746,-0.0065,0.0043,-0.2239,-0.0113,-0.0019,0.0115,0
4250420,0.9746,-0.0065,0.0043,-0.2239,0.0076,0.0122,-0.0174,0
4250586,0.9746,-0.0065,0.0043,-0.2239,0.0041,-0.0078,0.0286,0
4250753,0.9746,-0.0065,0.0043,-0.2239,-0.0075,-0.0145,-0.0099,0
4250920,0.9746,-0.0065,0.0043,-0.2239,-0.0090,0.0042,0.0011,0
