DeviceTag: Xsens DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-11-10 09:13:05.736,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
415736,0.9126,-0.0068,0.0046,0.4088,0.0541,-0.0685,-0.0785,0
415902,0.9126,-0.0067,0.0046,0.4088,0.0451,-0.0532,-0.0984,0
416069,0.9126,-0.0067,0.0046,0.4089,0.0448,-0.0520,-0.1033,0
416236,0.9126,-0.0066,0.0046,0.4088,0.0497,-0.0605,-0.0932,0
416402,0.9126,-0.0066,0.0046,0.4089,0.0462,-0.0641,-0.0927,0
416569,0.9125,-0.0066,0.0047,0.4089,0.0480,-0.0551,-0.1077,0
416736,0.9125,-0.0065,0.0047,0.4089,0.0589,-0.0581,-0.0784,0
416902,0.9125,-0.0065,0.0047,0.4090,0.0464,-0.0521,-0.0932,0
417069,0.9125,-0.0064,0.0047,0.4090,0.0604,-0.0562,-0.1034,0
417236,0.9125,-0.0064,0.0047,0.4090,0.0503,-0.0550,-0.0955,0
417402,0.9125,-0.0064,0.0047,0.4090,0.0568,-0.0656,-0.0735,0
417569,0.9125,-0.0063,0.0047,0.4090,0.0554,-0.0681,-0.0966,0
417736,0.9125,-0.0063,0.0047,0.4090,0.0573,-0.0553,-0.0746,0
417902,0.9125,-0.0062,0.0048,0.4090,0.0517,-0.0516,-0.0781,0
418069,0.9125,-0.0062,0.0048,0.4090,0.0515,-0.0534,-0.0994,0
418236,0.9125,-0.0062,0.0048,0.4089,0.0545,-0.0580,-0.0734,0
418402,0.9125,-0.0061,0.0048,0.4089,0.0434,-0.0645,-0.0966,0
418569,0.9125,-0.0061,0.0048,0.4089,0.0548,-0.0686,-0.0758,0
418736,0.9125,-0.0060,0.0048,0.4089,0.0535,-0.0701,-0.0998,0
418902,0.9125,-0.0060,0.0048,0.4089,0.0581,-0.0592,-0.1003,0
419069,0.9125,-0.0060,0.0048,0.4089,0.0540,-0.0474,-0.0999,0
419236,0.9126,-0.0059,0.0048,0.4089,0.0573,-0.0667,-0.0827,0
419402,0.9126,-0.0059,0.0049,0.4088,0.0631,-0.0514,-0.0987,0
419569,0.9126,-0.0059,0.0049,0.4088,0.0495,-0.0559,-0.0771,0
419736,0.9126,-0.0058,0.0049,0.4089,0.0469,-0.0718,-0.0803,0
419902,0.9126,-0.0058,0.0049,0.4089,0.0618,-0.0845,-0.0851,0
420069,0.9126,-0.0057,0.0049,0.4088,0.0634,-0.0596,-0.0906,0
420236,0.9126,-0.0057,0.0049,0.4088,0.0593,-0.0733,-0.0873,0
420402,0.9126,-0.0057,0.0049,0.4088,0.0662,-0.0765,-0.0810,0
420569,0.9126,-0.0057,0.0049,0.4089,0.0532,-0.0742,-0.0674,0
420736,0.9126,-0.0056,0.0050,0.4089,0.0586,-0.0751,-0.0829,0
420902,0.9126,-0.0056,0.0050,0.4089,0.0667,-0.0802,-0.0972,0
421069,0.9125,-0.0056,0.0050,0.4089,0.0606,-0.0651,-0.0841,0
421236,0.9125,-0.0055,0.0050,0.4089,0.0551,-0.0781,-0.1045,0
421402,0.9125,-0.0055,0.0050,0.4089,0.0668,-0.0705,-0.0979,0
421569,0.9125,-0.0055,0.0050,0.4089,0.0687,-0.0746,-0.0768,0
421736,0.9125,-0.0055,0.0050,0.4089,0.0542,-0.0617,-0.0882,0
421902,0.9125,-0.0054,0.0050,0.4089,0.0630,-0.0611,-0.0853,0
422069,0.9125,-0.0054,0.0051,0.4089,0.0624,-0.0720,-0.0829,0
422236,0.9126,-0.0054,0.0051,0.4089,0.0626,-0.0732,-0.0774,0
422402,0.9126,-0.0053,0.0051,0.4089,0.0564,-0.0806,-0.1074,0
422569,0.9125,-0.0053,0.0051,0.4089,0.0612,-0.0772,-0.0877,0
422736,0.9125,-0.0053,0.0051,0.4089,0.0718,-0.0635,-0.0930,0
422902,0.9125,-0.0053,0.0051,0.4089,0.0621,-0.0728,-0.0916,0
423069,0.9125,-0.0052,0.0051,0.4089,0.0722,-0.0651,-0.0855,0
423236,0.9125,-0.0052,0.0051,0.4089,0.0643,-0.0639,-0.0863,0
423402,0.9125,-0.0052,0.0051,0.4089,0.0674,-0.0673,-0.0819,0
423569,0.9126,-0.0052,0.0051,0.4089,0.0602,-0.0761,-0.0799,0
423736,0.9126,-0.0052,0.0051,0.4088,0.0683,-0.0642,-0.0753,0
423902,0.9126,-0.0051,0.0051,0.4088,0.0572,-0.0737,-0.0510,0
424069,0.9133,-0.0102,0.0036,0.4071,-0.0029,0.0001,-0.0973,0
424236,0.9133,-0.0102,0.0036,0.4071,-0.0042,-0.0030,-0.0940,0
424402,0.9133,-0.0102,0.0036,0.4071,-0.0047,0.0010,-0.0711,0
424569,0.9133,-0.0102,0.0036,0.4071,-0.0031,-0.0143,-0.0960,0
424736,0.9133,-0.0102,0.0036,0.4071,-0.0097,-0.0057,-0.0936,0
424902,0.9133,-0.0102,0.0036,0.4071,-0.0122,-0.0114,-0.1067,0
425069,0.9133,-0.0102,0.0036,0.4070,-0.0041,-0.0196,-0.1136,0
425236,0.9133,-0.0102,0.0036,0.4070,-0.0028,-0.0016,-0.0683,0
425402,0.9133,-0.0102,0.0036,0.4071,0.0166,0.0053,-0.0906,0
425569,0.9133,-0.0102,0.0036,0.4071,-0.0024,-0.0096,-0.0748,0
425736,0.9133,-0.0102,0.0036,0.4071,-0.0057,0.0027,-0.0714,0
425902,0.9133,-0.0102,0.0036,0.4071,-0.0052,0.0066,-0.0667,0
426069,0.9133,-0.0102,0.0036,0.4070,0.0010,-0.0054,-0.0987,0
426236,0.9133,-0.0102,0.0036,0.4070,0.0121,0.0006,-0.0833,0
426402,0.9134,-0.0102,0.0036,0.4070,0.0055,-0.0044,-0.0693,0
426569,0.9134,-0.0102,0.0037,0.4070,0.0083,-0.0021,-0.0979,0
426736,0.9134,-0.0102,0.0037,0.4070,0.0098,0.0005,-0.0788,0
426902,0.9134,-0.0102,0.0037,0.4070,0.0072,0.0045,-0.0804,0
427069,0.9134,-0.0102,0.0037,0.4070,-0.0124,-0.0001,-0.1011,0
427236,0.9134,-0.0103,0.0037,0.4070,0.0063,0.0040,-0.0539,0
427402,0.9134,-0.0103,0.0037,0.4070,0.0087,0.0023,-0.0948,0
427569,0.9134,-0.0103,0.0038,0.4070,-0.0008,0.0050,-0.1013,0
427736,0.9134,-0.0103,0.0038,0.4070,0.0021,-0.0009,-0.0887,0
427902,0.9134,-0.0104,0.0038,0.4069,-0.0036,0.0087,-0.0435,0
428069,0.9134,-0.0104,0.0039,0.4069,0.0059,0.0178,-0.0800,0
428236,0.9134,-0.0104,0.0039,0.4069,0.0112,-0.0055,-0.1225,0
428402,0.9134,-0.0105,0.0040,0.4069,-0.0044,0.0154,-0.0438,0
428569,0.9134,-0.0105,0.0040,0.4069,-0.0152,-0.0037,-0.1258,0
428736,0.9134,-0.0105,0.0040,0.4069,0.0001,-0.0060,-0.1086,0
428902,0.9134,-0.0105,0.0040,0.4069,-0.0103,-0.0213,-0.1270,0
429069,0.9134,-0.0105,0.0040,0.4069,-0.0089,-0.0073,-0.0690,0
429236,0.9134,-0.0105,0.0040,0.4069,0.0124,-0.0138,-0.1032,0
429402,0.9134,-0.0105,0.0040,0.4069,0.0192,-0.0052,-0.0923,0
429569,0.9134,-0.0105,0.0040,0.4069,0.0050,-0.0067,-0.0897,0
429736,0.9134,-0.0105,0.0040,0.4069,-0.0061,-0.0085,-0.0945,0
429903,0.9134,-0.0105,0.0040,0.4069,0.0085,0.0118,-0.0827,0
430069,0.9134,-0.0105,0.0040,0.4069,0.0009,0.0055,-0.0740,0
430236,0.9134,-0.0105,0.0040,0.4069,0.0006,-0.0031,-0.0812,0
430403,0.9134,-0.0105,0.0040,0.4069,-0.0013,0.0051,-0.0962,0
430569,0.9134,-0.0105,0.0040,0.4068,-0.0160,-0.0160,-0.0922,0
430736,0.9134,-0.0105,0.0040,0.4068,0.0083,-0.0181,-0.0939,0
430903,0.9134,-0.0105,0.0040,0.4068,0.0284,-0.0053,-0.0909,0
431069,0.9134,-0.0105,0.0040,0.4068,0.0069,-0.0125,-0.0946,0
431236,0.9134,-0.0105,0.0040,0.4068,0.0006,0.0142,-0.0737,0
431403,0.9135,-0.0105,0.0040,0.4068,0.0013,0.0020,-0.0977,0
431569,0.9135,-0.0105,0.0040,0.4068,0.0004,0.0100,-0.0812,0
431736,0.9135,-0.0105,0.0040,0.4068,0.0081,-0.0144,-0.1172,0
431903,0.9134,-0.0104,0.0039,0.4068,0.0058,-0.0111,-0.1023,0
432069,0.9134,-0.0104,0.0039,0.4068,-0.0032,-0.0169,-0.0917,0
432236,0.9135,-0.0104,0.0039,0.4068,-0.0085,-0.0040,-0.1018,0
432403,0.9134,-0.0104,0.0039,0.4068,0.0002,-0.0049,-0.1013,0
432569,0.9134,-0.0104,0.0039,0.4068,0.0128,-0.0073,-0.0863,0
