DeviceTag: ,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-11-13 22:43:10.341,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
4125473,0.8547,0.0022,-0.0035,0.5191,0.3454,-0.2401,1.9166,0
4125640,0.8547,0.0024,-0.0034,0.5192,0.3650,-0.2517,1.9006,0
4125807,0.8546,0.0026,-0.0033,0.5193,0.3934,-0.2704,1.9005,0
4125973,0.8545,0.0029,-0.0032,0.5194,0.3935,-0.2788,1.8941,0
4126140,0.8545,0.0031,-0.0031,0.5195,0.3986,-0.2775,1.8898,0
4126307,0.8544,0.0033,-0.0030,0.5196,0.3925,-0.2877,1.8982,0
4126473,0.8544,0.0035,-0.0029,0.5197,0.3892,-0.2591,1.8983,0
4126640,0.8543,0.0037,-0.0028,0.5198,0.3773,-0.2633,1.9043,0
4126807,0.8542,0.0040,-0.0027,0.5199,0.4013,-0.2746,1.9002,0
4126973,0.8542,0.0042,-0.0026,0.5200,0.4092,-0.2936,1.8888,0
4127140,0.8541,0.0044,-0.0024,0.5201,0.4276,-0.2949,1.8665,0
4127307,0.8541,0.0046,-0.0023,0.5201,0.4251,-0.3199,1.9252,0
4127473,0.8540,0.0048,-0.0023,0.5203,0.4159,-0.3075,1.8926,0
4127640,0.8539,0.0050,-0.0022,0.5204,0.4199,-0.3053,1.9177,0
4127807,0.8539,0.0052,-0.0021,0.5204,0.4230,-0.2998,1.9026,0
4127973,0.8538,0.0054,-0.0020,0.5205,0.4236,-0.3006,1.8796,0
4128140,0.8538,0.0056,-0.0019,0.5206,0.4420,-0.3004,1.8899,0
4128307,0.8537,0.0058,-0.0018,0.5207,0.4573,-0.3172,1.9095,0
4128473,0.8537,0.0060,-0.0017,0.5208,0.4534,-0.3208,1.8786,0
4128640,0.8536,0.0062,-0.0016,0.5209,0.4263,-0.3095,1.8734,0
4128807,0.8535,0.0063,-0.0015,0.5210,0.4379,-0.3122,1.8607,0
4128973,0.8535,0.0065,-0.0015,0.5211,0.4551,-0.3003,1.8646,0
4129140,0.8534,0.0067,-0.0014,0.5212,0.4693,-0.3066,1.9937,0
4129307,0.8534,0.0069,-0.0013,0.5213,0.4680,-0.3026,1.8776,0
4129473,0.8533,0.0071,-0.0012,0.5214,0.4707,-0.3390,1.7604,0
4129640,0.8532,0.0072,-0.0011,0.5215,0.5186,-0.3616,1.9815,0
4129807,0.8531,0.0074,-0.0010,0.5216,0.4814,-0.3417,1.8607,0
4129973,0.8531,0.0076,-0.0009,0.5217,0.4633,-0.3162,1.9346,0
4130140,0.8530,0.0077,-0.0009,0.5219,0.4711,-0.3410,1.9289,0
4130307,0.8529,0.0079,-0.0008,0.5219,0.4765,-0.3592,1.8703,0
4130473,0.8529,0.0080,-0.0007,0.5221,0.4876,-0.3489,1.8960,0
4130640,0.8528,0.0082,-0.0007,0.5222,0.4932,-0.3167,1.8814,0
4130807,0.8527,0.0083,-0.0006,0.5223,0.5082,-0.3325,1.8703,0
4130973,0.8527,0.0085,-0.0005,0.5224,0.5087,-0.3638,1.9243,0
4131140,0.8526,0.0087,-0.0005,0.5225,0.4994,-0.3668,1.9191,0
4131307,0.8525,0.0088,-0.0004,0.5226,0.4816,-0.3401,1.8754,0
4131473,0.8525,0.0089,-0.0004,0.5227,0.5127,-0.3387,1.8922,0
