DeviceTag: ,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-11-13 22:43:10.554,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
4233054,0.6050,-0.0006,-0.0108,0.7961,-0.0323,0.0863,0.0309,0
4233221,0.6050,-0.0006,-0.0108,0.7961,-0.0469,0.0920,-0.0002,0
4233387,0.6051,-0.0007,-0.0108,0.7961,-0.0452,0.0965,0.0078,0
4233554,0.6051,-0.0007,-0.0108,0.7961,-0.0175,0.0942,0.0033,0
4233721,0.6051,-0.0008,-0.0107,0.7961,-0.0110,0.0910,0.0025,0
4233887,0.6051,-0.0008,-0.0107,0.7960,-0.0256,0.0966,-0.0046,0
4234054,0.6052,-0.0009,-0.0106,0.7960,-0.0417,0.0906,0.0169,0
4234221,0.6052,-0.0009,-0.0106,0.7960,-0.0194,0.0903,0.0269,0
4234387,0.6052,-0.0010,-0.0106,0.7960,-0.0331,0.0937,0.0159,0
4234554,0.6052,-0.0010,-0.0106,0.7960,-0.0332,0.0864,0.0106,0
4234721,0.6052,-0.0011,-0.0105,0.7960,-0.0225,0.0917,-0.0020,0
4234887,0.6053,-0.0011,-0.0105,0.7960,-0.0134,0.0949,-0.0081,0
4235054,0.6053,-0.0012,-0.0105,0.7960,-0.0215,0.1062,-0.0001,0
4235221,0.6053,-0.0012,-0.0104,0.7959,-0.0364,0.1184,0.0104,0
4235387,0.6053,-0.0013,-0.0104,0.7959,-0.0618,0.1053,0.0001,0
4235554,0.6053,-0.0013,-0.0104,0.7959,-0.0428,0.1081,0.0260,0
4235721,0.6053,-0.0014,-0.0103,0.7959,-0.0493,0.1048,0.0040,0
4235887,0.6053,-0.0014,-0.0103,0.7959,-0.0247,0.1099,0.0116,0
4236054,0.6053,-0.0014,-0.0103,0.7959,-0.0277,0.1176,0.0187,0
4236221,0.6053,-0.0015,-0.0103,0.7959,-0.0260,0.0956,-0.0034,0
4236387,0.6054,-0.0015,-0.0102,0.7959,-0.0414,0.0964,0.0157,0
4236554,0.6054,-0.0016,-0.0102,0.7959,-0.0337,0.1111,-0.1022,0
4236721,0.6054,-0.0016,-0.0101,0.7959,-0.0466,0.1216,0.1759,0
4236887,0.6054,-0.0017,-0.0101,0.7959,-0.0425,0.1180,-0.0795,0
4237054,0.6054,-0.0017,-0.0100,0.7959,-0.0554,0.0996,0.0669,0
4237221,0.6054,-0.0018,-0.0100,0.7959,-0.0318,0.0880,0.0083,0
4237387,0.6054,-0.0018,-0.0100,0.7958,-0.0086,0.1160,-0.0479,0
4237554,0.6055,-0.0019,-0.0100,0.7958,-0.0282,0.1201,0.0606,0
4237721,0.6055,-0.0019,-0.0099,0.7958,-0.0428,0.1277,-0.0217,0
4237887,0.6055,-0.0019,-0.0099,0.7958,-0.0490,0.1200,0.0245,0
4238054,0.6055,-0.0020,-0.0099,0.7958,-0.0542,0.1076,-0.0180,0
4238221,0.6055,-0.0020,-0.0099,0.7958,-0.0342,0.1281,-0.0119,0
4238388,0.6055,-0.0021,-0.0098,0.7958,-0.0279,0.1308,0.0032,0
4238554,0.6056,-0.0021,-0.0098,0.7957,-0.0224,0.1259,0.0228,0
4238721,0.6055,-0.0021,-0.0098,0.7957,-0.0216,0.1209,-0.0072,0
